Concurso;Data Sorteio;Resultado;Ganhadores 15 acertos;Cidade / UF;Rateio 15 acertos;Ganhadores 14 acertos;Rateio 14 acertos;Ganhadores 13 acertos;Rateio 13 acertos;Ganhadores 12 acertos;Rateio 12 acertos;Ganhadores 11 acertos;Rateio 11 acertos
1;29/09/2003;"2;3;5;6;9;10;11;13;14;16;18;20;23;24;25";5;"BA; PR; SP";R$ 49.765,82;154;R$ 689,84;4645;R$ 10,00;48807;R$ 4,00;257593;R$ 2,00
2;06/10/2003;"1;4;5;6;7;9;11;12;13;15;16;19;20;23;24";1;SP;R$ 596.323,70;184;R$ 1.388,95;6232;R$ 10,00;81252;R$ 4,00;478188;R$ 2,00
3;13/10/2003;"1;4;6;7;8;9;10;11;12;14;16;17;20;23;24";2;SP;R$ 400.623,70;158;R$ 2.173,36;6897;R$ 10,00;96244;R$ 4,00;608211;R$ 2,00
4;20/10/2003;"1;2;4;5;8;10;12;13;16;17;18;19;23;24;25";1;MT;R$ 902.226,02;258;R$ 1.498,72;9569;R$ 10,00;123912;R$ 4,00;706657;R$ 2,00
5;27/10/2003;"1;2;4;8;9;11;12;13;15;16;19;20;23;24;25";2;"BA; MS";R$ 380.017,55;472;R$ 687,49;14736;R$ 10,00;195636;R$ 4,00;860992;R$ 2,00
6;03/11/2003;"1;2;4;5;6;7;10;12;15;16;17;19;21;23;25";2;"RJ; RS";R$ 489.140,06;393;R$ 1.066,83;14242;R$ 10,00;162320;R$ 4,00;888301;R$ 2,00
7;10/11/2003;"1;4;7;8;10;12;14;15;16;18;19;21;22;23;25";9;"BA; DF; GO; MG; RJ; RS; SP";R$ 104.625,29;1333;R$ 301,59;25878;R$ 10,00;206828;R$ 4,00;967358;R$ 2,00
8;17/11/2003;"1;5;6;8;9;10;13;15;16;17;18;19;20;22;25";1;BA;R$ 1.201.958,08;256;R$ 2.012,21;11414;R$ 10,00;149037;R$ 4,00;926910;R$ 2,00
9;24/11/2003;"3;4;5;9;10;11;13;15;16;17;19;20;21;24;25";3;"PR; SP";R$ 336.053,65;407;R$ 1.061,60;14973;R$ 10,00;213511;R$ 4,00;1104328;R$ 2,00
10;01/12/2003;"2;3;4;5;6;8;9;10;11;12;14;19;20;23;24";0;;R$ 0,00;380;R$ 1.157,08;15767;R$ 10,00;207355;R$ 4,00;1186563;R$ 2,00
11;08/12/2003;"2;6;7;8;9;10;11;12;16;19;20;22;23;24;25";0;;R$ 0,00;306;R$ 1.855,82;14249;R$ 10,00;216679;R$ 4,00;1343171;R$ 2,00
12;15/12/2003;"1;2;4;5;7;8;9;10;11;12;14;16;17;24;25";1;GO;R$ 3.490.966,18;631;R$ 771,32;24400;R$ 10,00;322557;R$ 4,00;1607584;R$ 2,00
13;22/12/2003;"3;5;6;7;8;9;10;11;13;14;15;16;17;19;23";3;"PR; RJ; SP";R$ 269.157,25;714;R$ 482,84;27399;R$ 10,00;320961;R$ 4,00;1501354;R$ 2,00
14;29/12/2003;"1;2;5;6;7;9;13;14;15;18;19;20;21;23;25";3;"RS; SP";R$ 411.362,89;444;R$ 1.191,21;15413;R$ 10,00;214582;R$ 4,00;1149506;R$ 2,00
15;05/01/2004;"1;2;4;6;8;10;12;15;16;18;19;21;23;24;25";22;"DF; ES; GO; MG; MT; PE; PR; RJ; SP";R$ 27.525,68;2059;R$ 125,58;38038;R$ 10,00;379994;R$ 4,00;1198158;R$ 2,00
16;12/01/2004;"2;5;6;7;8;10;12;13;15;17;19;21;23;24;25";9;"AL; DF; MG; PR; RO; RS; SP";R$ 83.935,77;1086;R$ 296,98;29005;R$ 10,00;329409;R$ 4,00;1471908;R$ 2,00
17;19/01/2004;"1;2;3;5;6;7;9;13;14;16;17;18;19;20;21";1;SP;R$ 1.427.169,94;320;R$ 1.911,39;14425;R$ 10,00;232740;R$ 4,00;1083387;R$ 2,00
18;26/01/2004;"2;6;7;8;10;11;14;15;17;18;19;20;22;23;24";3;"MT; RJ; TO";R$ 487.887,61;309;R$ 2.030,05;12373;R$ 10,00;174339;R$ 4,00;1079894;R$ 2,00
19;02/02/2004;"2;5;6;7;8;10;11;13;14;15;16;17;20;23;24";10;"GO; MG; MT; PA; PI; RJ; SP";R$ 82.040,05;818;R$ 428,20;23594;R$ 10,00;326913;R$ 4,00;1333412;R$ 2,00
20;09/02/2004;"3;4;6;7;8;9;10;14;16;17;18;19;20;23;24";9;"BA; MA; MG; MS; PA; PE; PR; SP";R$ 122.882,04;931;R$ 507,17;19580;R$ 10,00;266087;R$ 4,00;1462294;R$ 2,00
